t_ns,id,duration_ns
24764979200,step.unity.apply,41800
24764979200,step.unity.e2e,201673400
24765065600,step.socket.send,16700
24954507600,step.socket.parse,428500
24954507600,step.socket.wait,189520700
24954559500,step.unity.apply,29200
24954559500,step.unity.e2e,189572600
24954642000,step.socket.send,14500
25154006500,step.socket.parse,454000
25154006500,step.socket.wait,199440200
25154081200,step.unity.apply,39700
25154081200,step.unity.e2e,199514900
25154197200,step.socket.send,19200
25369775900,step.socket.parse,365300
25369775900,step.socket.wait,215687100
25369822100,step.unity.apply,26800
25369822100,step.unity.e2e,215733300
25369885700,step.socket.send,9300
25562171500,step.socket.parse,412500
25562171500,step.socket.wait,192343600
25562225800,step.unity.apply,31000
25562225800,step.unity.e2e,192397900
25562295500,step.socket.send,8300
25761591400,step.socket.parse,370300
25761591400,step.socket.wait,199357400
25761639400,step.unity.apply,28800
25761639400,step.unity.e2e,199405400
25761705900,step.socket.send,8000
25962309300,step.socket.parse,462900
25962309300,step.socket.wait,200663700
25962377700,step.unity.apply,39400
25962377700,step.unity.e2e,200732100
25962445900,step.socket.send,10000
26162270500,step.socket.parse,415400
26162270500,step.socket.wait,199885900
26162327500,step.unity.apply,32400
26162327500,step.unity.e2e,199942900
26162398400,step.socket.send,8500
26362567200,step.socket.parse,397700
26362567200,step.socket.wait,200233600
26362628700,step.unity.apply,33600
26362628700,step.unity.e2e,200295100
26362696300,step.socket.send,10000
26562557300,step.socket.parse,469500
26562557300,step.socket.wait,199920200
26562627800,step.unity.apply,37700
26562627800,step.unity.e2e,199990700
26562713100,step.socket.send,8300
26761474700,step.socket.parse,437300
26761474700,step.socket.wait,198829200
26761539400,step.unity.apply,36300
26761539400,step.unity.e2e,198893900
26761625300,step.socket.send,10000
26961511000,step.socket.parse,445000
26961511000,step.socket.wait,199960300
26961570500,step.unity.apply,34900
26961570500,step.unity.e2e,200019800
26961639200,step.socket.send,10000
27161052800,step.socket.parse,445600
27161052800,step.socket.wait,199475200
27161117900,step.unity.apply,38500
27161117900,step.unity.e2e,199540300
27161203300,step.socket.send,10100
27360749400,step.socket.parse,443600
27360749400,step.socket.wait,199623600
27360807600,step.unity.apply,34400
27360807600,step.unity.e2e,199681800
27360870100,step.socket.send,9300
27560823700,step.socket.parse,403900
27560823700,step.socket.wait,200009700
27560881700,step.unity.apply,31700
27560881700,step.unity.e2e,200067700
27560946000,step.socket.send,8800
27761628500,step.socket.parse,384100
27761628500,step.socket.wait,200740000
27761690300,step.unity.apply,30300
27761690300,step.unity.e2e,200801800
27761801300,step.socket.send,10500
27961271200,step.socket.parse,482600
27961271200,step.socket.wait,199544300
27961324800,step.unity.apply,34300
27961324800,step.unity.e2e,199597900
27961399500,step.socket.send,9500
28161540300,step.socket.parse,462700
28161540300,step.socket.wait,200208600
28161599300,step.unity.apply,34200
28161599300,step.unity.e2e,200267600
28161664700,step.socket.send,8600
28361829600,step.socket.parse,420800
28361829600,step.socket.wait,200223100
28361895500,step.unity.apply,37900
28361895500,step.unity.e2e,200289000
28361967200,step.socket.send,8400
28554292500,step.socket.parse,437400
28554292500,step.socket.wait,192390000
28554345500,step.unity.apply,30300
28554345500,step.unity.e2e,192443000
28554423800,step.socket.send,10300
28754692800,step.socket.parse,462700
28754692800,step.socket.wait,200340400
28754744600,step.unity.apply,29400
28754744600,step.unity.e2e,200392200
28754818200,step.socket.send,10800
28970339800,step.socket.parse,464100
28970339800,step.socket.wait,215587800
28970384200,step.unity.apply,24900
28970384200,step.unity.e2e,215632200
28970462300,step.socket.send,10800
29169979300,step.socket.parse,394800
29169979300,step.socket.wait,199579800
29170038000,step.unity.apply,31400
29170038000,step.unity.e2e,199638500
29170109100,step.socket.send,10100
29362610900,step.socket.parse,406900
29362610900,step.socket.wait,192566900
29362673800,step.unity.apply,36300
29362673800,step.unity.e2e,192629800
29362741400,step.socket.send,8100
29562224400,step.socket.parse,404800
29562224400,step.socket.wait,199543000
29562273500,step.unity.apply,26600
29562273500,step.unity.e2e,199592100
29562334600,step.socket.send,7900
29762712000,step.socket.parse,413000
29762712000,step.socket.wait,200433000
29762758500,step.unity.apply,27200
29762758500,step.unity.e2e,200479500
29762821300,step.socket.send,8900
29962431100,step.socket.parse,394000
29962431100,step.socket.wait,199665900
29962488700,step.unity.apply,34300
29962488700,step.unity.e2e,199723500
29962553200,step.socket.send,9200
30162181200,step.socket.parse,454700
30162181200,step.socket.wait,199685900
30162258600,step.unity.apply,37700
30162258600,step.unity.e2e,199763300
30162343300,step.socket.send,9800
30362268300,step.socket.parse,395400
30362268300,step.socket.wait,200002300
30362329100,step.unity.apply,35500
30362329100,step.unity.e2e,200063100
30362397200,step.socket.send,8900
30562425100,step.socket.parse,366100
30562425100,step.socket.wait,200089500
30562471900,step.unity.apply,25600
30562471900,step.unity.e2e,200136300
30562539400,step.socket.send,7900
30762365300,step.socket.parse,423300
30762365300,step.socket.wait,199887100
30762422800,step.unity.apply,35600
30762422800,step.unity.e2e,199944600
30762500300,step.socket.send,8100
30962235300,step.socket.parse,383400
30962235300,step.socket.wait,199805600
30962284200,step.unity.apply,29700
30962284200,step.unity.e2e,199854500
30962350000,step.socket.send,8600
31163557100,step.socket.parse,538900
31163557100,step.socket.wait,201266300
31163632400,step.unity.apply,47100
31163632400,step.unity.e2e,201341600
31163723600,step.socket.send,11000
31362689100,step.socket.parse,549000
31362689100,step.socket.wait,199037500
31362757200,step.unity.apply,38900
31362757200,step.unity.e2e,199105600
31362845700,step.socket.send,11500
31562024700,step.socket.parse,503000
31562024700,step.socket.wait,199253500
31562106600,step.unity.apply,47400
31562106600,step.unity.e2e,199335400
31562227800,step.socket.send,16400
31762237500,step.socket.parse,428200
31762237500,step.socket.wait,200119500
31762301100,step.unity.apply,36900
31762301100,step.unity.e2e,200183100
31762368800,step.socket.send,8400
31963111500,step.socket.parse,409000
31963111500,step.socket.wait,200802700
31963164600,step.unity.apply,35100
31963164600,step.unity.e2e,200855800
31963236700,step.socket.send,9800
32163931400,step.socket.parse,549200
32163931400,step.socket.wait,200759700
32164002600,step.unity.apply,41200
32164002600,step.unity.e2e,200830900
32164089500,step.socket.send,10700
32363096300,step.socket.parse,368500
32363096300,step.socket.wait,199084400
32363176900,step.unity.apply,44800
32363176900,step.unity.e2e,199165000
32363245200,step.socket.send,7700
32552513700,step.socket.parse,428200
32552513700,step.socket.wait,189330200
32552566900,step.unity.apply,32400
32552566900,step.unity.e2e,189383400
32552657500,step.socket.send,14100
32751490000,step.socket.parse,404200
32751490000,step.socket.wait,198916500
32751542600,step.unity.apply,26900
32751542600,step.unity.e2e,198969100
32751607700,step.socket.send,8900
32952497100,step.socket.parse,388300
32952497100,step.socket.wait,200948400
32952549500,step.unity.apply,31600
32952549500,step.unity.e2e,201000800
32952613100,step.socket.send,9100
33160485600,step.socket.parse,639500
33160485600,step.socket.wait,207929400
33160576200,step.unity.apply,50400
33160576200,step.unity.e2e,208020000
33160724900,step.socket.send,34300
33361330700,step.socket.parse,617400
33361330700,step.socket.wait,200744800
33361397200,step.unity.apply,38800
33361397200,step.unity.e2e,200811300
33361502000,step.socket.send,19800
33553346100,step.socket.parse,398400
33553346100,step.socket.wait,191941100
33553386300,step.unity.apply,23300
33553386300,step.unity.e2e,191981300
33553454300,step.socket.send,12200
33751289400,step.socket.parse,360600
33751289400,step.socket.wait,197897200
33751331900,step.unity.apply,25400
33751331900,step.unity.e2e,197939700
33751399100,step.socket.send,7900
33952442100,step.socket.parse,444500
33952442100,step.socket.wait,201100600
33952500300,step.unity.apply,33700
33952500300,step.unity.e2e,201158800
33952570500,step.socket.send,11100
34151375800,step.socket.parse,425400
34151375800,step.socket.wait,198868900
34151423300,step.unity.apply,27300
34151423300,step.unity.e2e,198916400
34151492000,step.socket.send,9500
34351598300,step.socket.parse,384900
34351598300,step.socket.wait,200168100
34351652000,step.unity.apply,33200
34351652000,step.unity.e2e,200221800
34351722900,step.socket.send,9300
34552212000,step.socket.parse,415900
34552212000,step.socket.wait,200551800
34552259000,step.unity.apply,26200
34552259000,step.unity.e2e,200598800
34552344700,step.socket.send,9600
34765794200,step.socket.parse,413300
34765794200,step.socket.wait,213517100
34765857300,step.unity.apply,37600
34765857300,step.unity.e2e,213580200
34765931300,step.socket.send,9500
34965507200,step.socket.parse,410000
34965507200,step.socket.wait,199643000
34965571500,step.unity.apply,40800
34965571500,step.unity.e2e,199707300
34965638600,step.socket.send,7900
35165101200,step.socket.parse,374800
35165101200,step.socket.wait,199522300
35165163400,step.unity.apply,44900
35165163400,step.unity.e2e,199584500
35165227300,step.socket.send,8000
35365212000,step.socket.parse,420700
35365212000,step.socket.wait,200038100
35365274200,step.unity.apply,36400
35365274200,step.unity.e2e,200100300
35365355000,step.socket.send,8800
35565250800,step.socket.parse,438600
35565250800,step.socket.wait,199969600
35565316300,step.unity.apply,39300
35565316300,step.unity.e2e,200035100
35565384500,step.socket.send,10300
35753621400,step.socket.parse,448500
35753621400,step.socket.wait,188298100
35753694000,step.unity.apply,40400
35753694000,step.unity.e2e,188370700
35753837600,step.socket.send,10300
35953216600,step.socket.parse,432600
35953216600,step.socket.wait,199449900
35953277600,step.unity.apply,33500
35953277600,step.unity.e2e,199510900
35953357400,step.socket.send,10000
36153866700,step.socket.parse,448300
36153866700,step.socket.wait,200581800
36153928700,step.unity.apply,35700
36153928700,step.unity.e2e,200643800
36154003000,step.socket.send,9500
36352584900,step.socket.parse,404400
36352584900,step.socket.wait,198643000
36352632300,step.unity.apply,27600
36352632300,step.unity.e2e,198690400
36352694400,step.socket.send,8800
36552706900,step.socket.parse,367600
36552706900,step.socket.wait,200068200
36552752600,step.unity.apply,25700
36552752600,step.unity.e2e,200113900
36552809400,step.socket.send,8200
36758834000,step.socket.parse,403000
36758834000,step.socket.wait,206075300
36758892900,step.unity.apply,32100
36758892900,step.unity.e2e,206134200
36758963300,step.socket.send,9100
36958992100,step.socket.parse,520500
36958992100,step.socket.wait,200092800
36959064000,step.unity.apply,41000
36959064000,step.unity.e2e,200164700
36959176900,step.socket.send,12900
37158893500,step.socket.parse,429400
37158893500,step.socket.wait,199809200
37158956000,step.unity.apply,35000
37158956000,step.unity.e2e,199871700
37159035700,step.socket.send,8700
37358782700,step.socket.parse,371200
37358782700,step.socket.wait,199819900
37358837800,step.unity.apply,32300
37358837800,step.unity.e2e,199875000
37358915000,step.socket.send,7700
37558924200,step.socket.parse,374400
37558924200,step.socket.wait,200080100
37558968300,step.unity.apply,25700
37558968300,step.unity.e2e,200124200
37559027500,step.socket.send,7500
37753642900,step.socket.parse,500900
37753642900,step.socket.wait,194669000
37753708300,step.unity.apply,41500
37753708300,step.unity.e2e,194734400
